//MinReset	MaxReset	Level_AL0	Level_AL1	Level_AL2	Level_AL3	Money_AL0	Money_AL1	Money_AL2	Money_AL3	Point_AL0	Point_AL1	Point_AL2	Point_AL3
1			24			400 		400			400			400			1000000	800000		700000		500000		500			450			450			450
25			49			400			400			400			400			5000000	8000000		7000000		5000000		500			550			550			550
50			74			400			400			400			400			10000000	16000000	14000000	10000000	500			600			600			600
75			99			400			400			400			400			15000000	24000000	21000000	15000000	500			450			450			450
100			124			400			400			400			400			20000000	24000000	21000000	15000000	500			450			450			450
125			149			400			400			400			400			25000000	24000000	21000000	15000000	500			450			450			450
150			174			400			400			400			400			30000000	24000000	21000000	15000000	500			450			450			450
175			199			400			400			400			400			35000000	24000000	21000000	15000000	500			450			450			450
200			224			400			400			400			400			40000000	24000000	21000000	15000000	500			450			450			450
225			249			400			400			400			400			45000000	24000000	21000000	15000000	500			450			450			450
250			299			400			400			400			400			50000000	24000000	21000000	15000000	500			450			450			450
300			325			400			400			400			400			1000000000	24000000	21000000	15000000	500			450			450			450
end
